timestamp,elapsed_s,bottle_psi,tank_psi,chamber_psi,loadcell_kg,gse_fill,gse_relief,gse_dump,rkt_ox,rkt_fuel,rkt_relief,rkt_dump,rkt_ign
2026-03-27 20:45:47.895,90.157,1160,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:48.006,90.268,1165,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:48.118,90.380,1159,-6,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:48.230,90.492,1162,-6,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:48.374,90.636,1168,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:48.486,90.748,1160,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:48.614,90.876,1165,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:48.726,90.988,1164,-6,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:48.744,91.006,1165,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:48.806,91.068,1163,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:48.918,91.180,1165,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:48.921,91.183,1167,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:49.031,91.293,1162,-6,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:49.190,91.452,1167,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:49.270,91.532,1167,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:49.351,91.613,1162,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:49.526,91.788,1159,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:49.638,91.900,1167,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:49.702,91.964,1165,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:49.830,92.092,1167,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:49.847,92.109,1169,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:49.926,92.188,1163,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:50.038,92.300,1167,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:50.119,92.381,1161,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:50.230,92.492,1166,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:50.342,92.604,1166,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:50.422,92.684,1164,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:50.535,92.797,1166,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:50.646,92.908,1163,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:50.758,93.020,1163,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:50.760,93.022,1163,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:50.886,93.148,1159,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:51.030,93.292,1167,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:51.110,93.372,1161,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:51.271,93.533,1162,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:51.382,93.644,1166,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:51.478,93.740,1164,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:51.558,93.820,1161,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:51.639,93.901,1160,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:51.734,93.997,1160,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:51.862,94.124,1158,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:52.038,94.300,1164,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:52.118,94.380,1162,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:52.198,94.460,1156,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:52.278,94.540,1160,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:52.358,94.620,1162,-6,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:52.518,94.780,1164,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:52.614,94.876,1164,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:52.726,94.988,1158,-6,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:52.806,95.068,1158,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:52.918,95.180,1160,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:52.981,95.243,1160,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:52.998,95.260,1160,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:53.078,95.340,1158,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:53.190,95.452,1159,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:53.318,95.580,1160,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:53.414,95.676,1159,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:53.526,95.788,1163,-6,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:53.638,95.900,1164,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:53.766,96.028,1166,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:53.767,96.029,1165,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:53.814,96.076,1161,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:54.055,96.317,1163,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:54.150,96.412,1160,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:54.230,96.492,1161,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:54.374,96.636,1162,-6,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:54.502,96.764,1159,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:54.598,96.860,1162,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:54.615,96.877,1165,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:54.662,96.924,1160,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:54.759,97.021,1163,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:54.870,97.133,1164,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:55.014,97.276,1167,-5,13,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:55.078,97.340,1164,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:55.285,97.547,1165,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:55.288,97.550,1164,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:55.334,97.596,1164,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:55.398,97.660,1161,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:55.622,97.884,1162,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:55.702,97.964,1162,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:55.704,97.967,1165,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:55.814,98.076,1163,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:55.862,98.124,1160,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:56.006,98.269,1160,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:56.069,98.331,1160,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:56.182,98.444,1164,-4,13,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:56.261,98.523,1165,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:56.263,98.525,1162,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:56.454,98.716,1160,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:56.533,98.796,1164,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:56.550,98.812,1158,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:56.630,98.892,1163,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:56.727,98.989,1164,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:56.822,99.084,1162,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:56.950,99.212,1162,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:57.062,99.324,1163,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:57.207,99.469,1164,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:57.318,99.580,1161,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:57.414,99.676,1159,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:57.478,99.740,1163,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:57.622,99.884,1163,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:57.750,100.012,1165,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:57.830,100.093,1159,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:57.894,100.156,1162,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:58.086,100.348,1161,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:58.087,100.349,1163,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:58.134,100.397,1161,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:58.182,100.444,1157,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:58.294,100.556,1163,-4,13,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:58.358,100.620,1161,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:58.454,100.716,1158,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:58.614,100.876,1162,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:58.615,100.877,1162,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:58.646,100.909,1164,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:58.806,101.068,1159,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:58.870,101.132,1163,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:58.918,101.180,1162,-4,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:59.030,101.292,1162,-6,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:59.157,101.419,1159,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:59.318,101.580,1163,-6,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:59.478,101.740,1156,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:59.526,101.788,1162,-6,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:59.654,101.916,1158,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:59.734,101.996,1159,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:45:59.814,102.076,1157,-6,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:46:00.070,102.332,1159,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:46:00.198,102.460,1162,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:46:00.326,102.588,1165,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:46:00.486,102.748,1163,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:46:00.518,102.780,1158,-5,11,0,1,0,1,1,1,1,1,1
2026-03-27 20:46:00.710,102.972,1162,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:46:00.790,103.052,1158,-5,12,0,1,0,1,1,1,1,1,1
2026-03-27 20:46:00.854,103.116,1161,-5,12,0,1,0,1,1,1,1,1,1
